NK,Burma,HK
"2,080","1,611",115
848,"2,461","1,320"
776,"2,460","1,547"
"1,231","2,309",942
"1,224","2,020","1,326"
"2,309","1,028","1,426"
"1,540","1,705",947
954,"2,386","1,727"
"1,809","1,518",625
"1,577","2,066",597
953,"2,531","1,225"
809,"2,634","1,961"
"1,180","2,188",989
424,"3,176","2,313"
"1,522","1,834","1,524"
"1,669","1,787","1,320"
"2,338","1,110",563
"1,017","2,844","2,337"
725,"2,653","1,912"
"2,032","1,204","1,064"
932,"3,911","3,049"
"2,808",426,"1,324"
461,"3,514","2,576"
"1,233","2,146","1,667"
"2,188","1,071",849
"3,218","2,484","3,328"
"1,930","1,639","1,765"
"2,647","1,260",535
"1,726","1,856","1,816"
"2,610","1,535","2,268"
"3,503","1,299","2,664"